 Title:, Report generated using easywire version: 2020.1.0.7085

 Operator:, Line Supervisor
 S/N:, 03AA0B0071
 Final Test Result:, Passed
 Run Number:, 631
 Cable Number:, 1
 Station ID:, CIRRIS 1
 Test Date:, 11/4/2025
 Test Time:, 9:47:06 AM
 Retry Count:, 0
 Test Name:, 11989-0312-Resistance Inverted Rev A

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Expected 2, Measured 2, Instruction Detail

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, LUA COMPONENT, , , 1.000, , (Prompt 1) Scan Barcode for Process#-Description: 17b
 2, LUA COMPONENT, , , 1.000, , (Prompt 5) Scan Barcode for Rework: n
 3, WIRE, Slot Block Installed Incorrectly, Slot Block Backward, 18.7 Ohm, 40.0 Ohm, Measured 18.7 Ohm
 4, 4WIRE, F1-DIB (F1), G1-DIB (F1), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 5, 4WIRE, F3-DIB (F2), G3-DIB (F2), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 6, 4WIRE, F6-DIB (F3), G6-DIB (F3), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 7, 4WIRE, F8-DIB (F4), G8-DIB (F4), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 8, 4WIRE, F12-DIB (F5), G12-DIB (F5), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 9, 4WIRE, F14-DIB (F6), G14-DIB (F6), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 10, 4WIRE, F17-DIB (F7), G17-DIB (F7), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 11, 4WIRE, F19-DIB (F8), G19-DIB (F8), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 12, 4WIRE, F23-DIB (F9), G23-DIB (F9), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 13, 4WIRE, F25-DIB (F10), G25-DIB (F10), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 14, 4WIRE, F28-DIB (F11), G28-DIB (F11), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 15, 4WIRE, F30-DIB (F12), G30-DIB (F12), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 16, 4WIRE, F34-DIB (F13), G34-DIB (F13), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 17, 4WIRE, F36-DIB (F14), G36-DIB (F14), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 18, 4WIRE, F39-DIB (F15), G39-DIB (F15), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 19, 4WIRE, F41-DIB (F16), G41-DIB (F16), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 20, 4WIRE, F46-DIB (F17), G46-DIB (F17), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 21, 4WIRE, F48-DIB (F18), G48-DIB (F18), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 22, 4WIRE, F51-DIB (F19), G51-DIB (F19), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 23, 4WIRE, F53-DIB (F20), G53-DIB (F20), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 24, 4WIRE, F57-DIB (F21), G57-DIB (F21), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 25, 4WIRE, F59-DIB (F22), G59-DIB (F22), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 26, 4WIRE, F62-DIB (F23), G62-DIB (F23), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 27, 4WIRE, F64-DIB (F24), G64-DIB (F24), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 28, 4WIRE, F68-DIB (F25), G68-DIB (F25), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 29, 4WIRE, F70-DIB (F26), G70-DIB (F26), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 30, 4WIRE, F73-DIB (F27), G73-DIB (F27), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 31, 4WIRE, F75-DIB (F28), G75-DIB (F28), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 32, 4WIRE, F79-DIB (F29), G79-DIB (F29), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 33, 4WIRE, F81-DIB (F30), G81-DIB (F30), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 34, 4WIRE, F84-DIB (F31), G84-DIB (F31), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 35, 4WIRE, F86-DIB (F32), G86-DIB (F32), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 36, 4WIRE, A87-DIB (F33), B87-DIB (F33), 200 mOhm, 500 mOhm, Measured 200 mOhm 
 37, 4WIRE, A85-DIB (F34), B85-DIB (F34), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 38, 4WIRE, A82-DIB (F35), B82-DIB (F35), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 39, 4WIRE, A80-DIB (F36), B80-DIB (F36), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 40, 4WIRE, A76-DIB (F37), B76-DIB (F37), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 41, 4WIRE, A74-DIB (F38), B74-DIB (F38), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 42, 4WIRE, A71-DIB (F39), B71-DIB (F39), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 43, 4WIRE, A69-DIB (F40), B69-DIB (F40), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 44, 4WIRE, A65-DIB (F41), B65-DIB (F41), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 45, 4WIRE, A63-DIB (F42), B63-DIB (F42), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 46, 4WIRE, A60-DIB (F43), B60-DIB (F43), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 47, 4WIRE, A58-DIB (F44), B58-DIB (F44), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 48, 4WIRE, A54-DIB (F45), B54-DIB (F45), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 49, 4WIRE, A52-DIB (F46), B52-DIB (F46), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 50, 4WIRE, A49-DIB (F47), B49-DIB (F47), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 51, 4WIRE, A47-DIB (F48), B47-DIB (F48), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 52, 4WIRE, A42-DIB (F49), B42-DIB (F49), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 53, 4WIRE, A40-DIB (F50), B40-DIB (F50), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 54, 4WIRE, A37-DIB (F51), B37-DIB (F51), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 55, 4WIRE, A35-DIB (F52), B35-DIB (F52), 77 mOhm, 500 mOhm, Measured 77 mOhm 
