Channel,Measured_pA,Expected_pA
A2,104.0,0
A2,77.0,0
A4,77.0,0
A6,38.0,0
A8,70.0,0
A13,47.0,0
A15,55.0,0
A17,59.0,0
A19,60.0,0
A24,40.0,0
A26,137.0,0
A28,101.0,0
A30,249.0,0
A35,208.0,0
A37,129.0,0
A39,107.0,0
A41,101.0,0
A47,93.0,0
A49,139.0,0
A51,114.0,0
A53,168.0,0
A58,117.0,0
A60,214.0,0
A62,246.0,0
A64,150.0,0
A69,143.0,0
A71,115.0,0
A73,100.0,0
A75,116.0,0
A80,115.0,0
A82,88.0,0
A84,122.0,0
A86,100.0,0
C2,83.0,0
C4,84.0,0
C6,63.0,0
C8,82.0,0
C13,79.0,0
C15,87.0,0
C17,95.0,0
C19,87.0,0
C24,117.0,0
C26,116.0,0
C28,113.0,0
C30,287.0,0
C35,180.0,0
C37,98.0,0
C39,124.0,0
C41,124.0,0
C47,99.0,0
C49,96.0,0
C51,140.0,0
C53,143.0,0
C58,173.0,0
C60,137.0,0
C62,271.0,0
C64,214.0,0
C69,155.0,0
C71,106.0,0
C73,110.0,0
C75,116.0,0
C80,103.0,0
C82,122.0,0
C84,122.0,0
C86,105.0,0
E2,196.0,0
E4,205.0,0
E6,98.0,0
E8,212.0,0
E13,191.0,0
E15,133.0,0
E17,113.0,0
E19,126.0,0
E24,180.0,0
E26,295.0,0
E28,280.0,0
E30,315.0,0
E35,151.0,0
E37,210.0,0
E39,175.0,0
E41,133.0,0
E47,138.0,0
E49,120.0,0
E51,155.0,0
E53,147.0,0
E58,236.0,0
E60,249.0,0
E62,202.0,0
E64,156.0,0
E69,144.0,0
E71,139.0,0
E73,167.0,0
E75,166.0,0
E80,145.0,0
E82,148.0,0
E84,132.0,0
E86,84.0,0
G2,256.0,0
G4,227.0,0
G6,151.0,0
G8,153.0,0
G13,268.0,0
G15,205.0,0
G17,155.0,0
G19,160.0,0
G24,159.0,0
G26,239.0,0
G28,312.0,0
G30,233.0,0
G35,246.0,0
G37,172.0,0
G39,207.0,0
G41,184.0,0
G47,110.0,0
G49,99.0,0
G51,145.0,0
G53,157.0,0
G58,218.0,0
G60,266.0,0
G62,120.0,0
G64,182.0,0
G69,135.0,0
G71,161.0,0
G73,170.0,0
G75,104.0,0
G80,167.0,0
G82,587.0,0
G84,92.0,0
G86,81.0,0
A44,123.0,0
B44,104.0,0
F44,155.0,0
G44,186.0,0
