Channel,Measured_pA,Expected_pA
A2,220.0,0
A2,171.0,0
A4,210.0,0
A6,134.0,0
A8,269.0,0
A13,169.0,0
A15,115.0,0
A17,102.0,0
A19,198.0,0
A24,188.0,0
A26,105.0,0
A28,99.0,0
A30,83.0,0
A35,144.0,0
A37,118.0,0
A39,115.0,0
A41,116.0,0
A47,131.0,0
A49,181.0,0
A51,152.0,0
A53,217.0,0
A58,131.0,0
A60,242.0,0
A62,338.0,0
A64,439.0,0
A69,672.0,0
A71,953.0,0
A73,1163.0,0
A75,958.0,0
A80,717.0,0
A82,852.0,0
A84,957.0,0
A86,706.0,0
C2,217.0,0
C4,203.0,0
C6,260.0,0
C8,216.0,0
C13,150.0,0
C15,107.0,0
C17,189.0,0
C19,192.0,0
C24,127.0,0
C26,106.0,0
C28,96.0,0
C30,83.0,0
C35,133.0,0
C37,114.0,0
C39,112.0,0
C41,111.0,0
C47,106.0,0
C49,96.0,0
C51,173.0,0
C53,186.0,0
C58,143.0,0
C60,205.0,0
C62,256.0,0
C64,390.0,0
C69,567.0,0
C71,1125.0,0
C73,900.0,0
C75,1117.0,0
C80,751.0,0
C82,868.0,0
C84,768.0,0
C86,813.0,0
E2,135.0,0
E4,309.0,0
E6,302.0,0
E8,621.0,0
E13,619.0,0
E15,851.0,0
E17,4432.0,0
E19,867.0,0
E24,1830.0,0
E26,247.0,0
E28,122.0,0
E30,183.0,0
E35,107.0,0
E37,90.0,0
E39,74.0,0
E41,85.0,0
E47,69.0,0
E49,76.0,0
E51,56.0,0
E53,91.0,0
E58,97.0,0
E60,171.0,0
E62,193.0,0
E64,292.0,0
E69,103.0,0
E71,202.0,0
E73,200.0,0
E75,151.0,0
E80,219.0,0
E82,232.0,0
E84,483.0,0
E86,170.0,0
G2,130.0,0
G4,211.0,0
G6,281.0,0
G8,485.0,0
G13,697.0,0
G15,757.0,0
G17,953.0,0
G19,4415.0,0
G24,2097.0,0
G26,319.0,0
G28,220.0,0
G30,184.0,0
G35,137.0,0
G37,134.0,0
G39,94.0,0
G41,95.0,0
G47,89.0,0
G49,60.0,0
G51,75.0,0
G53,90.0,0
G58,70.0,0
G60,199.0,0
G62,255.0,0
G64,190.0,0
G69,106.0,0
G71,269.0,0
G73,147.0,0
G75,187.0,0
G80,164.0,0
G82,363.0,0
G84,443.0,0
G86,87.0,0
A44,90.0,0
B44,137.0,0
F44,70.0,0
G44,88.0,0
