Channel,Measured_pA,Expected_pA
A2,230.0,0
A2,131.0,0
A4,2170.0,0
A6,1717.0,0
A8,993.0,0
A13,555.0,0
A15,492.0,0
A17,633.0,0
A19,606.0,0
A24,145.0,0
A26,334.0,0
A28,596.0,0
A30,492.0,0
A35,267.0,0
A37,206.0,0
A39,173.0,0
A41,155.0,0
A47,178.0,0
A49,127.0,0
A51,158.0,0
A53,708.0,0
A58,2013.0,0
A60,901.0,0
A62,1518.0,0
A64,714.0,0
A69,793.0,0
A71,517.0,0
A73,505.0,0
A75,832.0,0
A80,1083.0,0
A82,852.0,0
A84,625.0,0
A86,1073.0,0
C2,420.0,0
C4,2501.0,0
C6,1163.0,0
C8,988.0,0
C13,722.0,0
C15,191.0,0
C17,797.0,0
C19,602.0,0
C24,558.0,0
C26,419.0,0
C28,429.0,0
C30,345.0,0
C35,155.0,0
C37,191.0,0
C39,204.0,0
C41,129.0,0
C47,201.0,0
C49,150.0,0
C51,160.0,0
C53,265.0,0
C58,2334.0,0
C60,881.0,0
C62,809.0,0
C64,1337.0,0
C69,726.0,0
C71,722.0,0
C73,540.0,0
C75,631.0,0
C80,484.0,0
C82,1251.0,0
C84,698.0,0
C86,1391.0,0
E2,712.0,0
E4,600.0,0
E6,278.0,0
E8,413.0,0
E13,555.0,0
E15,899.0,0
E17,1222.0,0
E19,1255.0,0
E24,1167.0,0
E26,728.0,0
E28,456.0,0
E30,229.0,0
E35,153.0,0
E37,163.0,0
E39,205.0,0
E41,158.0,0
E47,180.0,0
E49,169.0,0
E51,197.0,0
E53,159.0,0
E58,202.0,0
E60,204.0,0
E62,171.0,0
E64,218.0,0
E69,141.0,0
E71,169.0,0
E73,143.0,0
E75,334.0,0
E80,234.0,0
E82,219.0,0
E84,190.0,0
E86,102.0,0
G2,327.0,0
G4,950.0,0
G6,472.0,0
G8,325.0,0
G13,457.0,0
G15,750.0,0
G17,1034.0,0
G19,1403.0,0
G24,1353.0,0
G26,909.0,0
G28,619.0,0
G30,343.0,0
G35,155.0,0
G37,151.0,0
G39,300.0,0
G41,144.0,0
G47,184.0,0
G49,184.0,0
G51,153.0,0
G53,166.0,0
G58,169.0,0
G60,146.0,0
G62,223.0,0
G64,168.0,0
G69,181.0,0
G71,141.0,0
G73,162.0,0
G75,358.0,0
G80,243.0,0
G82,207.0,0
G84,186.0,0
G86,118.0,0
A44,163.0,0
B44,188.0,0
F44,195.0,0
G44,155.0,0
