Channel,Measured_pA,Expected_pA
A2,460.0,0
A2,409.0,0
A4,937.0,0
A6,218.0,0
A8,151.0,0
A13,144.0,0
A15,150.0,0
A17,357.0,0
A19,195.0,0
A24,364.0,0
A26,229.0,0
A28,493.0,0
A30,191.0,0
A35,151.0,0
A37,127.0,0
A39,100.0,0
A41,97.0,0
A47,147.0,0
A49,185.0,0
A51,265.0,0
A53,802.0,0
A58,422.0,0
A60,1208.0,0
A62,2318.0,0
A64,2272.0,0
A69,2961.0,0
A71,2125.0,0
A73,1791.0,0
A75,1139.0,0
A80,599.0,0
A82,1601.0,0
A84,1293.0,0
A86,958.0,0
C2,1129.0,0
C4,174.0,0
C6,189.0,0
C8,131.0,0
C13,97.0,0
C15,440.0,0
C17,235.0,0
C19,228.0,0
C24,719.0,0
C26,358.0,0
C28,176.0,0
C30,163.0,0
C35,138.0,0
C37,161.0,0
C39,112.0,0
C41,115.0,0
C47,95.0,0
C49,119.0,0
C51,211.0,0
C53,552.0,0
C58,701.0,0
C60,649.0,0
C62,1704.0,0
C64,2188.0,0
C69,2796.0,0
C71,2867.0,0
C73,1976.0,0
C75,1434.0,0
C80,796.0,0
C82,1381.0,0
C84,1152.0,0
C86,1592.0,0
E2,672.0,0
E4,504.0,0
E6,712.0,0
E8,630.0,0
E13,212.0,0
E15,267.0,0
E17,345.0,0
E19,303.0,0
E24,315.0,0
E26,267.0,0
E28,243.0,0
E30,606.0,0
E35,186.0,0
E37,120.0,0
E39,87.0,0
E41,86.0,0
E47,99.0,0
E49,91.0,0
E51,104.0,0
E53,123.0,0
E58,172.0,0
E60,198.0,0
E62,107.0,0
E64,159.0,0
E69,215.0,0
E71,185.0,0
E73,143.0,0
E75,203.0,0
E80,145.0,0
E82,246.0,0
E84,483.0,0
E86,136.0,0
G2,981.0,0
G4,436.0,0
G6,666.0,0
G8,766.0,0
G13,429.0,0
G15,264.0,0
G17,338.0,0
G19,312.0,0
G24,357.0,0
G26,321.0,0
G28,278.0,0
G30,414.0,0
G35,482.0,0
G37,185.0,0
G39,136.0,0
G41,96.0,0
G47,89.0,0
G49,78.0,0
G51,99.0,0
G53,103.0,0
G58,228.0,0
G60,160.0,0
G62,159.0,0
G64,151.0,0
G69,257.0,0
G71,153.0,0
G73,147.0,0
G75,185.0,0
G80,201.0,0
G82,250.0,0
G84,412.0,0
G86,178.0,0
A44,120.0,0
B44,131.0,0
F44,111.0,0
G44,123.0,0
