Channel,Measured_pA,Expected_pA
A2,205.0,0
A2,86.0,0
A4,153.0,0
A6,128.0,0
A8,89.0,0
A13,71.0,0
A15,78.0,0
A17,87.0,0
A19,82.0,0
A24,86.0,0
A26,113.0,0
A28,114.0,0
A30,126.0,0
A35,104.0,0
A37,138.0,0
A39,116.0,0
A41,97.0,0
A47,99.0,0
A49,102.0,0
A51,122.0,0
A53,142.0,0
A58,546.0,0
A60,240.0,0
A62,466.0,0
A64,1970.0,0
A69,1429.0,0
A71,1779.0,0
A73,2477.0,0
A75,502.0,0
A80,422.0,0
A82,324.0,0
A84,213.0,0
A86,226.0,0
C2,122.0,0
C4,101.0,0
C6,97.0,0
C8,92.0,0
C13,105.0,0
C15,81.0,0
C17,107.0,0
C19,119.0,0
C24,127.0,0
C26,138.0,0
C28,126.0,0
C30,159.0,0
C35,169.0,0
C37,112.0,0
C39,120.0,0
C41,100.0,0
C47,120.0,0
C49,99.0,0
C51,131.0,0
C53,148.0,0
C58,320.0,0
C60,542.0,0
C62,272.0,0
C64,1414.0,0
C69,1532.0,0
C71,1233.0,0
C73,2771.0,0
C75,1058.0,0
C80,520.0,0
C82,380.0,0
C84,303.0,0
C86,252.0,0
E2,941.0,0
E4,1313.0,0
E6,1970.0,0
E8,2808.0,0
E13,2471.0,0
E15,4080.0,0
E17,2789.0,0
E19,1181.0,0
E24,639.0,0
E26,243.0,0
E28,118.0,0
E30,135.0,0
E35,112.0,0
E37,107.0,0
E39,196.0,0
E41,187.0,0
E47,72.0,0
E49,82.0,0
E51,81.0,0
E53,92.0,0
E58,137.0,0
E60,101.0,0
E62,135.0,0
E64,112.0,0
E69,366.0,0
E71,152.0,0
E73,251.0,0
E75,468.0,0
E80,174.0,0
E82,161.0,0
E84,199.0,0
E86,183.0,0
G2,743.0,0
G4,1054.0,0
G6,1365.0,0
G8,2803.0,0
G13,2451.0,0
G15,3888.0,0
G17,3444.0,0
G19,1616.0,0
G24,831.0,0
G26,412.0,0
G28,142.0,0
G30,123.0,0
G35,134.0,0
G37,169.0,0
G39,176.0,0
G41,166.0,0
G47,83.0,0
G49,73.0,0
G51,115.0,0
G53,111.0,0
G58,123.0,0
G60,98.0,0
G62,148.0,0
G64,173.0,0
G69,178.0,0
G71,92.0,0
G73,246.0,0
G75,395.0,0
G80,244.0,0
G82,192.0,0
G84,125.0,0
G86,153.0,0
A44,102.0,0
B44,118.0,0
F44,110.0,0
G44,111.0,0
