Channel,Measured_pA,Expected_pA
F1,298.0,0
F1,317.0,0
F2,396.0,0
F3,538.0,0
F4,523.0,0
F5,489.0,0
F6,428.0,0
F7,447.0,0
F8,482.0,0
F9,366.0,0
F10,491.0,0
F11,558.0,0
F12,651.0,0
F13,635.0,0
F14,502.0,0
F15,502.0,0
F16,540.0,0
F17,511.0,0
F18,457.0,0
F19,478.0,0
F20,523.0,0
F21,526.0,0
F22,464.0,0
F23,566.0,0
F24,541.0,0
F25,638.0,0
F26,523.0,0
F27,634.0,0
F28,539.0,0
F29,667.0,0
F30,483.0,0
F31,459.0,0
F32,406.0,0
F33,493.0,0
F34,446.0,0
F35,501.0,0
F36,495.0,0
F37,457.0,0
F38,447.0,0
F39,423.0,0
F40,486.0,0
F41,439.0,0
F42,452.0,0
F43,320.0,0
F44,432.0,0
F45,392.0,0
F46,362.0,0
F47,260.0,0
F48,358.0,0
F49,404.0,0
F50,504.0,0
F51,377.0,0
F52,468.0,0
F53,503.0,0
F54,553.0,0
F55,431.0,0
F56,520.0,0
F57,549.0,0
F58,420.0,0
F59,502.0,0
F60,466.0,0
F61,614.0,0
F62,439.0,0
F63,409.0,0
F64,424.0,0
R1,457.0,0
R2,460.0,0
R3,523.0,0
R4,533.0,0
R5,582.0,0
R6,514.0,0
R7,551.0,0
R8,517.0,0
R9,642.0,0
R10,601.0,0
R11,527.0,0
R12,545.0,0
R13,477.0,0
R14,529.0,0
R15,877.0,0
R16,686.0,0
R17,509.0,0
R18,401.0,0
R19,504.0,0
R20,517.0,0
R21,500.0,0
R22,453.0,0
F63,441.0,0
R24,786.0,0
F69,786.0,0
F71,597.0,0
F74,468.0,0
F76,562.0,0
F80,590.0,0
F82,580.0,0
F85,485.0,0
F87,496.0,0
R33,567.0,0
R34,623.0,0
R35,710.0,0
R36,742.0,0
R37,678.0,0
R38,687.0,0
R39,758.0,0
R40,738.0,0
R41,723.0,0
R42,698.0,0
R43,648.0,0
R44,716.0,0
R45,544.0,0
R46,640.0,0
R47,618.0,0
R48,671.0,0
R49,873.0,0
R50,508.0,0
R51,741.0,0
R52,875.0,0
R53,680.0,0
R54,794.0,0
R55,687.0,0
R56,735.0,0
R57,669.0,0
R58,672.0,0
R59,688.0,0
R60,674.0,0
R61,634.0,0
R62,575.0,0
R63,586.0,0
R64,601.0,0
FS1,176.0,0
FS2,313.0,0
FS3,267.0,0
FS4,265.0,0
FS5,315.0,0
FS6,304.0,0
FS7,242.0,0
FS8,216.0,0
FS9,240.0,0
FS10,249.0,0
FS11,205.0,0
FS12,217.0,0
FS13,243.0,0
FS14,267.0,0
FS15,204.0,0
FS16,195.0,0
FS17,216.0,0
FS18,242.0,0
FS19,276.0,0
FS20,186.0,0
FS21,252.0,0
FS22,213.0,0
FS23,196.0,0
FS24,197.0,0
FS25,202.0,0
FS26,256.0,0
FS27,286.0,0
FS28,261.0,0
FS29,196.0,0
FS30,214.0,0
FS31,236.0,0
FS32,156.0,0
FS33,233.0,0
FS34,221.0,0
FS35,221.0,0
FS36,247.0,0
FS37,233.0,0
FS38,232.0,0
FS39,254.0,0
FS40,223.0,0
FS41,219.0,0
FS42,184.0,0
FS43,223.0,0
FS44,148.0,0
FS45,224.0,0
FS46,247.0,0
FS47,211.0,0
FS48,244.0,0
FS49,196.0,0
FS50,300.0,0
FS51,275.0,0
FS52,246.0,0
FS53,226.0,0
FS54,247.0,0
FS55,227.0,0
FS56,216.0,0
FS57,268.0,0
FS58,251.0,0
FS59,230.0,0
FS60,223.0,0
FS61,233.0,0
FS62,221.0,0
FS63,242.0,0
FS64,184.0,0
RS1,275.0,0
RS2,444.0,0
RS3,336.0,0
RS4,308.0,0
RS5,325.0,0
RS6,292.0,0
RS7,316.0,0
RS8,336.0,0
RS9,313.0,0
RS10,337.0,0
RS11,322.0,0
RS12,345.0,0
RS13,313.0,0
RS14,335.0,0
RS15,349.0,0
RS16,292.0,0
RS17,381.0,0
RS18,361.0,0
RS19,372.0,0
RS20,335.0,0
RS21,370.0,0
RS22,402.0,0
RS23,313.0,0
RS24,322.0,0
RS25,355.0,0
RS26,373.0,0
RS27,313.0,0
RS28,346.0,0
RS29,340.0,0
RS30,279.0,0
RS31,293.0,0
RS32,296.0,0
RS33,308.0,0
RS34,328.0,0
RS35,355.0,0
RS36,325.0,0
RS37,349.0,0
RS38,330.0,0
RS39,413.0,0
RS40,380.0,0
RS41,314.0,0
RS42,333.0,0
RS43,342.0,0
RS44,291.0,0
RS45,283.0,0
RS46,356.0,0
RS47,311.0,0
RS48,292.0,0
RS49,398.0,0
RS50,512.0,0
RS51,402.0,0
RS52,420.0,0
RS53,368.0,0
RS54,289.0,0
RS55,331.0,0
RS56,331.0,0
RS57,358.0,0
RS58,352.0,0
RS59,322.0,0
RS60,323.0,0
RS61,379.0,0
RS62,299.0,0
RS63,304.0,0
RS64,368.0,0
