Channel,Measured_pA,Expected_pA
F1,814.0,0
F1,898.0,0
F2,849.0,0
F3,908.0,0
F4,886.0,0
F5,946.0,0
F6,842.0,0
F7,784.0,0
F8,754.0,0
F9,783.0,0
F10,849.0,0
F11,922.0,0
F12,833.0,0
F13,776.0,0
F14,799.0,0
F15,847.0,0
F16,855.0,0
F17,736.0,0
F18,699.0,0
F19,717.0,0
F20,698.0,0
F21,715.0,0
F22,661.0,0
F23,746.0,0
F24,753.0,0
F25,750.0,0
F26,699.0,0
F27,761.0,0
F28,737.0,0
F29,762.0,0
F30,768.0,0
F31,743.0,0
F32,640.0,0
F33,593.0,0
F34,665.0,0
F35,767.0,0
F36,734.0,0
F37,653.0,0
F38,673.0,0
F39,665.0,0
F40,707.0,0
F41,734.0,0
F42,655.0,0
F43,753.0,0
F44,695.0,0
F45,660.0,0
F46,629.0,0
F47,537.0,0
F48,626.0,0
F49,885.0,0
F50,918.0,0
F51,1000.0,0
F52,975.0,0
F53,909.0,0
F54,942.0,0
F55,1263.0,0
F56,1139.0,0
F57,1448.0,0
F58,1378.0,0
F59,1309.0,0
F60,1336.0,0
F61,1362.0,0
F62,1410.0,0
F63,1318.0,0
F64,1115.0,0
R1,605.0,0
R2,725.0,0
R3,664.0,0
R4,732.0,0
R5,672.0,0
R6,631.0,0
R7,684.0,0
R8,649.0,0
R9,737.0,0
R10,689.0,0
R11,714.0,0
R12,696.0,0
R13,747.0,0
R14,724.0,0
R15,734.0,0
R16,770.0,0
R17,576.0,0
R18,550.0,0
R19,579.0,0
R20,626.0,0
R21,637.0,0
R22,513.0,0
F63,613.0,0
R24,598.0,0
F69,672.0,0
F71,589.0,0
F74,504.0,0
F76,678.0,0
F80,651.0,0
F82,660.0,0
F85,652.0,0
F87,384.0,0
R33,653.0,0
R34,737.0,0
R35,900.0,0
R36,836.0,0
R37,772.0,0
R38,829.0,0
R39,831.0,0
R40,805.0,0
R41,742.0,0
R42,821.0,0
R43,835.0,0
R44,741.0,0
R45,777.0,0
R46,801.0,0
R47,801.0,0
R48,820.0,0
R49,1059.0,0
R50,929.0,0
R51,1076.0,0
R52,1189.0,0
R53,1081.0,0
R54,1290.0,0
R55,993.0,0
R56,964.0,0
R57,1052.0,0
R58,1456.0,0
R59,1448.0,0
R60,1484.0,0
R61,1448.0,0
R62,1151.0,0
R63,1292.0,0
R64,1312.0,0
FS1,424.0,0
FS2,505.0,0
FS3,448.0,0
FS4,469.0,0
FS5,488.0,0
FS6,491.0,0
FS7,466.0,0
FS8,462.0,0
FS9,488.0,0
FS10,481.0,0
FS11,440.0,0
FS12,506.0,0
FS13,518.0,0
FS14,432.0,0
FS15,416.0,0
FS16,437.0,0
FS17,371.0,0
FS18,380.0,0
FS19,434.0,0
FS20,437.0,0
FS21,352.0,0
FS22,497.0,0
FS23,419.0,0
FS24,458.0,0
FS25,350.0,0
FS26,469.0,0
FS27,513.0,0
FS28,505.0,0
FS29,447.0,0
FS30,433.0,0
FS31,468.0,0
FS32,424.0,0
FS33,410.0,0
FS34,439.0,0
FS35,519.0,0
FS36,508.0,0
FS37,486.0,0
FS38,487.0,0
FS39,381.0,0
FS40,497.0,0
FS41,468.0,0
FS42,445.0,0
FS43,548.0,0
FS44,417.0,0
FS45,492.0,0
FS46,447.0,0
FS47,449.0,0
FS48,455.0,0
FS49,481.0,0
FS50,529.0,0
FS51,682.0,0
FS52,636.0,0
FS53,607.0,0
FS54,646.0,0
FS55,486.0,0
FS56,469.0,0
FS57,545.0,0
FS58,519.0,0
FS59,529.0,0
FS60,537.0,0
FS61,494.0,0
FS62,497.0,0
FS63,857.0,0
FS64,496.0,0
RS1,407.0,0
RS2,490.0,0
RS3,468.0,0
RS4,465.0,0
RS5,522.0,0
RS6,488.0,0
RS7,520.0,0
RS8,428.0,0
RS9,680.0,0
RS10,529.0,0
RS11,385.0,0
RS12,428.0,0
RS13,454.0,0
RS14,332.0,0
RS15,442.0,0
RS16,448.0,0
RS17,451.0,0
RS18,432.0,0
RS19,479.0,0
RS20,391.0,0
RS21,442.0,0
RS22,460.0,0
RS23,450.0,0
RS24,453.0,0
RS25,461.0,0
RS26,458.0,0
RS27,440.0,0
RS28,428.0,0
RS29,450.0,0
RS30,441.0,0
RS31,435.0,0
RS32,423.0,0
RS33,472.0,0
RS34,510.0,0
RS35,488.0,0
RS36,499.0,0
RS37,411.0,0
RS38,432.0,0
RS39,459.0,0
RS40,466.0,0
RS41,478.0,0
RS42,468.0,0
RS43,539.0,0
RS44,479.0,0
RS45,454.0,0
RS46,485.0,0
RS47,482.0,0
RS48,490.0,0
RS49,691.0,0
RS50,519.0,0
RS51,539.0,0
RS52,518.0,0
RS53,462.0,0
RS54,483.0,0
RS55,684.0,0
RS56,637.0,0
RS57,591.0,0
RS58,479.0,0
RS59,805.0,0
RS60,813.0,0
RS61,782.0,0
RS62,814.0,0
RS63,547.0,0
RS64,456.0,0
