Channel,Measured_pA,Expected_pA
F1,381.0,0
F1,273.0,0
F2,430.0,0
F3,559.0,0
F4,554.0,0
F5,457.0,0
F6,399.0,0
F7,432.0,0
F8,426.0,0
F9,352.0,0
F10,612.0,0
F11,584.0,0
F12,649.0,0
F13,658.0,0
F14,557.0,0
F15,613.0,0
F16,577.0,0
F17,500.0,0
F18,449.0,0
F19,486.0,0
F20,496.0,0
F21,451.0,0
F22,430.0,0
F23,489.0,0
F24,466.0,0
F25,574.0,0
F26,476.0,0
F27,609.0,0
F28,525.0,0
F29,648.0,0
F30,481.0,0
F31,443.0,0
F32,399.0,0
F33,503.0,0
F34,491.0,0
F35,609.0,0
F36,530.0,0
F37,485.0,0
F38,434.0,0
F39,408.0,0
F40,466.0,0
F41,414.0,0
F42,412.0,0
F43,460.0,0
F44,458.0,0
F45,415.0,0
F46,416.0,0
F47,323.0,0
F48,360.0,0
F49,451.0,0
F50,478.0,0
F51,426.0,0
F52,553.0,0
F53,444.0,0
F54,438.0,0
F55,441.0,0
F56,613.0,0
F57,642.0,0
F58,518.0,0
F59,528.0,0
F60,544.0,0
F61,552.0,0
F62,501.0,0
F63,573.0,0
F64,645.0,0
R1,519.0,0
R2,622.0,0
R3,552.0,0
R4,603.0,0
R5,652.0,0
R6,575.0,0
R7,606.0,0
R8,678.0,0
R9,801.0,0
R10,771.0,0
R11,606.0,0
R12,659.0,0
R13,617.0,0
R14,668.0,0
R15,754.0,0
R16,765.0,0
R17,574.0,0
R18,507.0,0
R19,517.0,0
R20,545.0,0
R21,531.0,0
R22,470.0,0
F63,511.0,0
R24,496.0,0
F69,516.0,0
F71,648.0,0
F74,529.0,0
F76,610.0,0
F80,622.0,0
F82,678.0,0
F85,619.0,0
F87,643.0,0
R33,563.0,0
R34,696.0,0
R35,750.0,0
R36,716.0,0
R37,653.0,0
R38,706.0,0
R39,689.0,0
R40,661.0,0
R41,665.0,0
R42,624.0,0
R43,703.0,0
R44,645.0,0
R45,646.0,0
R46,614.0,0
R47,652.0,0
R48,679.0,0
R49,829.0,0
R50,683.0,0
R51,863.0,0
R52,876.0,0
R53,857.0,0
R54,673.0,0
R55,792.0,0
R56,687.0,0
R57,703.0,0
R58,698.0,0
R59,750.0,0
R60,767.0,0
R61,726.0,0
R62,651.0,0
R63,673.0,0
R64,707.0,0
FS1,185.0,0
FS2,199.0,0
FS3,236.0,0
FS4,233.0,0
FS5,328.0,0
FS6,287.0,0
FS7,206.0,0
FS8,229.0,0
FS9,212.0,0
FS10,224.0,0
FS11,159.0,0
FS12,233.0,0
FS13,207.0,0
FS14,215.0,0
FS15,197.0,0
FS16,209.0,0
FS17,175.0,0
FS18,173.0,0
FS19,179.0,0
FS20,169.0,0
FS21,163.0,0
FS22,181.0,0
FS23,185.0,0
FS24,193.0,0
FS25,210.0,0
FS26,223.0,0
FS27,227.0,0
FS28,228.0,0
FS29,194.0,0
FS30,188.0,0
FS31,219.0,0
FS32,179.0,0
FS33,297.0,0
FS34,245.0,0
FS35,232.0,0
FS36,263.0,0
FS37,238.0,0
FS38,266.0,0
FS39,232.0,0
FS40,204.0,0
FS41,207.0,0
FS42,196.0,0
FS43,229.0,0
FS44,139.0,0
FS45,195.0,0
FS46,230.0,0
FS47,214.0,0
FS48,197.0,0
FS49,232.0,0
FS50,241.0,0
FS51,258.0,0
FS52,223.0,0
FS53,234.0,0
FS54,192.0,0
FS55,225.0,0
FS56,201.0,0
FS57,293.0,0
FS58,224.0,0
FS59,243.0,0
FS60,249.0,0
FS61,244.0,0
FS62,233.0,0
FS63,227.0,0
FS64,245.0,0
RS1,338.0,0
RS2,350.0,0
RS3,343.0,0
RS4,317.0,0
RS5,345.0,0
RS6,330.0,0
RS7,373.0,0
RS8,349.0,0
RS9,290.0,0
RS10,353.0,0
RS11,335.0,0
RS12,354.0,0
RS13,357.0,0
RS14,361.0,0
RS15,347.0,0
RS16,296.0,0
RS17,350.0,0
RS18,355.0,0
RS19,334.0,0
RS20,302.0,0
RS21,302.0,0
RS22,345.0,0
RS23,323.0,0
RS24,329.0,0
RS25,364.0,0
RS26,342.0,0
RS27,353.0,0
RS28,338.0,0
RS29,305.0,0
RS30,311.0,0
RS31,332.0,0
RS32,347.0,0
RS33,452.0,0
RS34,333.0,0
RS35,303.0,0
RS36,402.0,0
RS37,360.0,0
RS38,330.0,0
RS39,302.0,0
RS40,374.0,0
RS41,313.0,0
RS42,353.0,0
RS43,387.0,0
RS44,305.0,0
RS45,337.0,0
RS46,311.0,0
RS47,331.0,0
RS48,272.0,0
RS49,372.0,0
RS50,527.0,0
RS51,429.0,0
RS52,401.0,0
RS53,408.0,0
RS54,318.0,0
RS55,347.0,0
RS56,315.0,0
RS57,393.0,0
RS58,361.0,0
RS59,346.0,0
RS60,352.0,0
RS61,338.0,0
RS62,368.0,0
RS63,370.0,0
RS64,485.0,0
