Channel,Measured_pA,Expected_pA
F1,483.0,0
F1,576.0,0
F2,749.0,0
F3,728.0,0
F4,681.0,0
F5,642.0,0
F6,573.0,0
F7,646.0,0
F8,603.0,0
F9,596.0,0
F10,752.0,0
F11,798.0,0
F12,838.0,0
F13,796.0,0
F14,972.0,0
F15,792.0,0
F16,749.0,0
F17,699.0,0
F18,681.0,0
F19,694.0,0
F20,661.0,0
F21,770.0,0
F22,665.0,0
F23,769.0,0
F24,767.0,0
F25,657.0,0
F26,503.0,0
F27,750.0,0
F28,616.0,0
F29,671.0,0
F30,753.0,0
F31,618.0,0
F32,544.0,0
F33,552.0,0
F34,638.0,0
F35,679.0,0
F36,782.0,0
F37,726.0,0
F38,681.0,0
F39,695.0,0
F40,768.0,0
F41,755.0,0
F42,680.0,0
F43,664.0,0
F44,692.0,0
F45,664.0,0
F46,629.0,0
F47,599.0,0
F48,822.0,0
F49,664.0,0
F50,660.0,0
F51,702.0,0
F52,614.0,0
F53,645.0,0
F54,641.0,0
F55,640.0,0
F56,749.0,0
F57,662.0,0
F58,649.0,0
F59,663.0,0
F60,651.0,0
F61,717.0,0
F62,640.0,0
F63,665.0,0
F64,529.0,0
R1,493.0,0
R2,578.0,0
R3,550.0,0
R4,603.0,0
R5,584.0,0
R6,559.0,0
R7,599.0,0
R8,588.0,0
R9,735.0,0
R10,696.0,0
R11,594.0,0
R12,626.0,0
R13,585.0,0
R14,520.0,0
R15,878.0,0
R16,803.0,0
R17,624.0,0
R18,532.0,0
R19,587.0,0
R20,549.0,0
R21,604.0,0
R22,625.0,0
F63,668.0,0
R24,639.0,0
F69,683.0,0
F71,884.0,0
F74,991.0,0
F76,1077.0,0
F80,776.0,0
F82,797.0,0
F85,566.0,0
F87,662.0,0
R33,473.0,0
R34,613.0,0
R35,676.0,0
R36,736.0,0
R37,632.0,0
R38,697.0,0
R39,670.0,0
R40,635.0,0
R41,655.0,0
R42,696.0,0
R43,683.0,0
R44,630.0,0
R45,685.0,0
R46,666.0,0
R47,675.0,0
R48,663.0,0
R49,843.0,0
R50,654.0,0
R51,809.0,0
R52,882.0,0
R53,807.0,0
R54,741.0,0
R55,767.0,0
R56,732.0,0
R57,729.0,0
R58,696.0,0
R59,707.0,0
R60,706.0,0
R61,713.0,0
R62,644.0,0
R63,646.0,0
R64,710.0,0
FS1,378.0,0
FS2,490.0,0
FS3,410.0,0
FS4,461.0,0
FS5,507.0,0
FS6,652.0,0
FS7,458.0,0
FS8,452.0,0
FS9,435.0,0
FS10,476.0,0
FS11,426.0,0
FS12,406.0,0
FS13,457.0,0
FS14,347.0,0
FS15,438.0,0
FS16,417.0,0
FS17,392.0,0
FS18,472.0,0
FS19,395.0,0
FS20,388.0,0
FS21,447.0,0
FS22,417.0,0
FS23,415.0,0
FS24,394.0,0
FS25,365.0,0
FS26,441.0,0
FS27,428.0,0
FS28,413.0,0
FS29,406.0,0
FS30,379.0,0
FS31,392.0,0
FS32,445.0,0
FS33,441.0,0
FS34,419.0,0
FS35,434.0,0
FS36,439.0,0
FS37,428.0,0
FS38,436.0,0
FS39,389.0,0
FS40,426.0,0
FS41,407.0,0
FS42,452.0,0
FS43,412.0,0
FS44,419.0,0
FS45,380.0,0
FS46,423.0,0
FS47,413.0,0
FS48,466.0,0
FS49,425.0,0
FS50,473.0,0
FS51,442.0,0
FS52,460.0,0
FS53,459.0,0
FS54,447.0,0
FS55,439.0,0
FS56,459.0,0
FS57,439.0,0
FS58,461.0,0
FS59,405.0,0
FS60,391.0,0
FS61,479.0,0
FS62,427.0,0
FS63,439.0,0
FS64,445.0,0
RS1,422.0,0
RS2,446.0,0
RS3,419.0,0
RS4,466.0,0
RS5,486.0,0
RS6,406.0,0
RS7,466.0,0
RS8,428.0,0
RS9,460.0,0
RS10,427.0,0
RS11,387.0,0
RS12,387.0,0
RS13,416.0,0
RS14,442.0,0
RS15,438.0,0
RS16,419.0,0
RS17,427.0,0
RS18,444.0,0
RS19,405.0,0
RS20,398.0,0
RS21,431.0,0
RS22,423.0,0
RS23,430.0,0
RS24,414.0,0
RS25,436.0,0
RS26,466.0,0
RS27,423.0,0
RS28,413.0,0
RS29,405.0,0
RS30,398.0,0
RS31,405.0,0
RS32,439.0,0
RS33,416.0,0
RS34,439.0,0
RS35,395.0,0
RS36,417.0,0
RS37,434.0,0
RS38,446.0,0
RS39,426.0,0
RS40,439.0,0
RS41,420.0,0
RS42,428.0,0
RS43,456.0,0
RS44,432.0,0
RS45,450.0,0
RS46,418.0,0
RS47,447.0,0
RS48,427.0,0
RS49,423.0,0
RS50,559.0,0
RS51,423.0,0
RS52,420.0,0
RS53,435.0,0
RS54,464.0,0
RS55,472.0,0
RS56,472.0,0
RS57,440.0,0
RS58,447.0,0
RS59,455.0,0
RS60,434.0,0
RS61,517.0,0
RS62,430.0,0
RS63,436.0,0
RS64,423.0,0
