Channel,Measured_pA,Expected_pA
F1,267.0,0
F1,320.0,0
F2,600.0,0
F3,665.0,0
F4,637.0,0
F5,605.0,0
F6,588.0,0
F7,620.0,0
F8,616.0,0
F9,620.0,0
F10,549.0,0
F11,574.0,0
F12,714.0,0
F13,726.0,0
F14,812.0,0
F15,577.0,0
F16,637.0,0
F17,647.0,0
F18,628.0,0
F19,603.0,0
F20,610.0,0
F21,605.0,0
F22,562.0,0
F23,595.0,0
F24,625.0,0
F25,753.0,0
F26,652.0,0
F27,716.0,0
F28,657.0,0
F29,770.0,0
F30,1066.0,0
F31,587.0,0
F32,330.0,0
F33,600.0,0
F34,747.0,0
F35,781.0,0
F36,599.0,0
F37,596.0,0
F38,611.0,0
F39,507.0,0
F40,565.0,0
F41,477.0,0
F42,530.0,0
F43,437.0,0
F44,464.0,0
F45,430.0,0
F46,417.0,0
F47,418.0,0
F48,479.0,0
F49,504.0,0
F50,452.0,0
F51,474.0,0
F52,533.0,0
F53,604.0,0
F54,442.0,0
F55,568.0,0
F56,823.0,0
F57,712.0,0
F58,713.0,0
F59,701.0,0
F60,757.0,0
F61,753.0,0
F62,817.0,0
F63,729.0,0
F64,657.0,0
R1,762.0,0
R2,823.0,0
R3,826.0,0
R4,846.0,0
R5,841.0,0
R6,799.0,0
R7,684.0,0
R8,761.0,0
R9,933.0,0
R10,843.0,0
R11,639.0,0
R12,644.0,0
R13,600.0,0
R14,500.0,0
R15,593.0,0
R16,664.0,0
R17,556.0,0
R18,534.0,0
R19,517.0,0
R20,599.0,0
R21,613.0,0
R22,638.0,0
F63,560.0,0
R24,732.0,0
F69,790.0,0
F71,812.0,0
F74,632.0,0
F76,837.0,0
F80,853.0,0
F82,919.0,0
F85,589.0,0
F87,743.0,0
R33,637.0,0
R34,932.0,0
R35,987.0,0
R36,1071.0,0
R37,1012.9999999999999,0
R38,1037.0,0
R39,1109.0,0
R40,940.0,0
R41,973.0,0
R42,967.0,0
R43,935.0,0
R44,1028.0,0
R45,951.0,0
R46,913.0,0
R47,914.0,0
R48,916.0,0
R49,872.0,0
R50,926.0,0
R51,1180.0,0
R52,1179.0,0
R53,1064.0,0
R54,1189.0,0
R55,997.0,0
R56,1002.0,0
R57,996.0,0
R58,979.0,0
R59,1079.0,0
R60,1002.0,0
R61,965.0,0
R62,958.0,0
R63,902.0,0
R64,846.0,0
FS1,263.0,0
FS2,280.0,0
FS3,287.0,0
FS4,297.0,0
FS5,230.0,0
FS6,245.0,0
FS7,312.0,0
FS8,302.0,0
FS9,303.0,0
FS10,267.0,0
FS11,289.0,0
FS12,303.0,0
FS13,326.0,0
FS14,291.0,0
FS15,291.0,0
FS16,290.0,0
FS17,280.0,0
FS18,323.0,0
FS19,263.0,0
FS20,318.0,0
FS21,312.0,0
FS22,296.0,0
FS23,320.0,0
FS24,303.0,0
FS25,309.0,0
FS26,332.0,0
FS27,312.0,0
FS28,358.0,0
FS29,307.0,0
FS30,335.0,0
FS31,346.0,0
FS32,318.0,0
FS33,311.0,0
FS34,370.0,0
FS35,363.0,0
FS36,387.0,0
FS37,393.0,0
FS38,339.0,0
FS39,371.0,0
FS40,383.0,0
FS41,349.0,0
FS42,413.0,0
FS43,369.0,0
FS44,379.0,0
FS45,387.0,0
FS46,315.0,0
FS47,325.0,0
FS48,353.0,0
FS49,343.0,0
FS50,352.0,0
FS51,421.0,0
FS52,367.0,0
FS53,423.0,0
FS54,406.0,0
FS55,408.0,0
FS56,384.0,0
FS57,375.0,0
FS58,406.0,0
FS59,385.0,0
FS60,406.0,0
FS61,372.0,0
FS62,334.0,0
FS63,393.0,0
FS64,356.0,0
RS1,372.0,0
RS2,398.0,0
RS3,401.0,0
RS4,462.0,0
RS5,440.0,0
RS6,441.0,0
RS7,448.0,0
RS8,416.0,0
RS9,410.0,0
RS10,531.0,0
RS11,484.0,0
RS12,420.0,0
RS13,395.0,0
RS14,518.0,0
RS15,435.0,0
RS16,424.0,0
RS17,438.0,0
RS18,405.0,0
RS19,409.0,0
RS20,424.0,0
RS21,464.0,0
RS22,422.0,0
RS23,414.0,0
RS24,431.0,0
RS25,471.0,0
RS26,395.0,0
RS27,564.0,0
RS28,477.0,0
RS29,477.0,0
RS30,464.0,0
RS31,400.0,0
RS32,412.0,0
RS33,438.0,0
RS34,504.0,0
RS35,513.0,0
RS36,473.0,0
RS37,505.0,0
RS38,515.0,0
RS39,503.0,0
RS40,521.0,0
RS41,511.0,0
RS42,529.0,0
RS43,453.0,0
RS44,466.0,0
RS45,506.0,0
RS46,461.0,0
RS47,457.0,0
RS48,460.0,0
RS49,493.0,0
RS50,335.0,0
RS51,528.0,0
RS52,535.0,0
RS53,519.0,0
RS54,496.0,0
RS55,573.0,0
RS56,535.0,0
RS57,505.0,0
RS58,484.0,0
RS59,503.0,0
RS60,452.0,0
RS61,501.0,0
RS62,479.0,0
RS63,523.0,0
RS64,400.0,0
